url,credibility,description
https://swvalleytimes.com/,low,fake_news
https://syrianews.cc/,low,fake_news
https://www.takimag.com/,low,fake_news
https://tallahasseesun.com/,low,fake_news
https://tamparepublic.com/,low,fake_news
https://tbdailynews.com/,low,fake_news
https://techstartups.com/,low,fake_news
https://www.telesurenglish.net/,low,fake_news
https://www.africanexponent.com,low,fake_news
https://thebeardedpatriot.com/,low,fake_news
https://www.thebeltwayreport.com/,low,fake_news
https://thebl.com/,low,fake_news
https://theblacksphere.net/,low,fake_news
https://www.theblaze.com/,low,fake_news
https://buffalochronicle.com,low,fake_news
https://thecoloradoherald.com/,low,fake_news
https://www.theconservativebrief.com,low,fake_news
https://theconservativecentral.com/,low,fake_news
https://conservativepapers.com/,low,fake_news
https://thecountersignal.com/,low,fake_news
https://dailyboulder.com/,low,fake_news
https://www.thedailystar.com/,low,fake_news
https://www.dailywire.com,low,fake_news
https://thedcpatriot.com/,low,fake_news
https://www.thedesertreview.com/,low,fake_news
https://thedonald.win/,low,fake_news
https://theduran.com/,low,fake_news
https://www.theepochtimes.com,low,fake_news
https://thefederalist.com/,low,fake_news
https://www.thefreedomtimes.com/,low,fake_news
https://thefrisky.com/,low,fake_news
https://www.thegatewaypundit.com/,low,fake_news
https://www.joerogan.com/,low,fake_news
https://thelapost.com/,low,fake_news
https://lastresistance.com/,low,fake_news
https://www.thelaughclub.net/,low,fake_news
https://thelibertydaily.com/,low,fake_news
https://thelibertyloft.com/,low,fake_news
https://eng.majalla.com/,low,fake_news
https://www.thenationalpatriot.com/,low,fake_news
https://www.thenational.ae,low,fake_news
https://www.nationalistreview.net/,low,fake_news
https://other98.com,low,fake_news
http://thepatriotnation.net/,low,fake_news
https://thepoliticalbrief.com/,low,fake_news
http://www.thepolitics.online,low,fake_news
https://www.thepostemail.com,low,fake_news
https://theragingpatriot.org/,low,fake_news
https://www.rebelnews.com/,low,fake_news
https://theredelephants.com/,low,fake_news
https://rfangle.com/,low,fake_news
https://theregionnews.com/,low,fake_news
https://therightstuff.biz/,low,fake_news
https://www.thescinewsreporter.com,low,fake_news
https://www.sciencetimes.com/,low,fake_news
https://thescoop.us/,low,fake_news
https://thespectator.info/,low,fake_news
https://www.tehrantimes.com/,low,fake_news
https://thetruedefender.com/,low,fake_news
https://thetruereporter.com/,low,fake_news
http://www.thetruthvoice.net/,low,fake_news
https://theunionjournal.com/,low,fake_news
https://thewashingtonsentinel.com,low,fake_news
https://www.chicagodaily.pro,low,fake_news
https://www.toddstarnes.com/,low,fake_news
https://toofab.com/,low,fake_news
https://topekasun.com/,low,fake_news
https://www.toptopic.club,low,fake_news
https://www.torontotoday.net/,low,fake_news
http://tplnews.com,low,fake_news
https://treasurecoastsun.com/,low,fake_news
